test,N,M,C,total_cost_Crama’s LP,total_cost_LSG,total_cost_Privault-Finke,millis_Crama’s LP,millis_LSG,millis_Privault-Finke
rand_M1824_N237_C15_id000.txt,237,1824,15,5776,5776,5776,17.936,1.29,740.568
rand_M182_N51_C7_id000.txt,51,182,7,540,540,540,0.59,0.058,4.484
rand_M1835_N238_C15_id000.txt,238,1835,15,5373,5373,5373,17.879,1.361,679.145
rand_M1847_N239_C15_id000.txt,239,1847,15,5722,5722,5722,20.589,1.467,739.104
rand_M1859_N240_C15_id000.txt,240,1859,15,5500,5500,5500,17.07,1.382,676.183
rand_M1870_N241_C15_id000.txt,241,1870,15,5655,5655,5655,17.96,1.349,710.331
rand_M187_N52_C7_id000.txt,52,187,7,551,551,551,0.701,0.084,6.06
rand_M1882_N242_C15_id000.txt,242,1882,15,5863,5863,5863,19.539,1.611,761.733
rand_M1893_N243_C15_id000.txt,243,1893,15,5358,5358,5358,15.91,1.296,614.185
rand_M18_N11_C3_id000.txt,11,18,3,53,53,53,0.111,0.006,0.059
rand_M1905_N244_C15_id000.txt,244,1905,15,5722,5722,5722,18.853,1.444,750.059
rand_M1917_N245_C15_id000.txt,245,1917,15,5944,5944,5944,21.045,1.673,778.97
rand_M1929_N246_C15_id000.txt,246,1929,15,5230,5230,5230,15.975,1.361,620.389
rand_M192_N53_C7_id000.txt,53,192,7,538,538,538,0.605,0.058,4.607
rand_M1940_N247_C15_id000.txt,247,1940,15,6004,6004,6004,20.143,1.376,858.296
rand_M1952_N248_C15_id000.txt,248,1952,15,5623,5623,5623,18.851,1.443,748.933
rand_M1964_N249_C15_id000.txt,249,1964,15,6265,6265,6265,21.077,1.738,901.954
rand_M1976_N250_C15_id000.txt,250,1976,15,5360,5360,5360,18.612,1.458,770.193
rand_M1988_N251_C15_id000.txt,251,1988,15,5893,5893,5893,20.904,1.718,887.32
rand_M198_N54_C7_id000.txt,54,198,7,555,555,555,0.499,0.097,4.896
rand_M2000_N252_C15_id000.txt,252,2000,15,6197,6197,6197,22.064,1.62,958.622
rand_M2012_N253_C15_id000.txt,253,2012,15,5759,5759,5759,17.671,1.387,773.447
rand_M2024_N254_C15_id000.txt,254,2024,15,6071,6071,6071,19.798,1.459,901.986
rand_M2036_N255_C15_id000.txt,255,2036,15,6029,6029,6029,20.981,1.42,832.011
rand_M203_N55_C7_id000.txt,55,203,7,603,603,603,0.704,0.064,5.354
rand_M2048_N256_C16_id000.txt,256,2048,16,6312,6312,6312,26.238,1.563,959.559
rand_M2060_N257_C16_id000.txt,257,2060,16,5883,5883,5883,20.414,1.432,814.201
rand_M2072_N258_C16_id000.txt,258,2072,16,6251,6251,6251,22.242,1.571,979.785
rand_M2084_N259_C16_id000.txt,259,2084,16,6414,6414,6414,20.18,1.569,988.65
rand_M2096_N260_C16_id000.txt,260,2096,16,6665,6665,6665,23.618,1.655,1058.644
rand_M209_N56_C7_id000.txt,56,209,7,611,611,611,1.144,0.071,5.946
rand_M20_N12_C3_id000.txt,12,20,3,57,57,57,0.11,0.007,0.061
rand_M2108_N261_C16_id000.txt,261,2108,16,6239,6239,6239,22.138,1.531,1008.011
rand_M2120_N262_C16_id000.txt,262,2120,16,6724,6724,6724,23.618,1.637,1038.149
rand_M2132_N263_C16_id000.txt,263,2132,16,6651,6651,6651,22.335,1.61,1046.385
rand_M2144_N264_C16_id000.txt,264,2144,16,6716,6716,6716,23.319,2.167,1059.247
rand_M2156_N265_C16_id000.txt,265,2156,16,6165,6165,6165,22.705,1.885,935.373
rand_M215_N57_C7_id000.txt,57,215,7,665,665,665,0.69,0.077,6.694
rand_M2169_N266_C16_id000.txt,266,2169,16,6236,6236,6236,21.275,1.618,949.353
rand_M2181_N267_C16_id000.txt,267,2181,16,5981,5981,5981,21.451,1.458,867.604
rand_M2193_N268_C16_id000.txt,268,2193,16,6618,6618,6618,23.533,1.748,1030.089
rand_M2205_N269_C16_id000.txt,269,2205,16,7016,7016,7016,26.9,2.004,1179.728
rand_M220_N58_C7_id000.txt,58,220,7,593,593,593,0.845,0.075,5.857
rand_M2218_N270_C16_id000.txt,270,2218,16,6515,6515,6515,23.525,1.665,1111.318
rand_M2230_N271_C16_id000.txt,271,2230,16,6490,6490,6490,21.339,1.529,998.791
rand_M2242_N272_C16_id000.txt,272,2242,16,7000,7000,7000,26.559,1.764,1192.8
rand_M2255_N273_C16_id000.txt,273,2255,16,6824,6824,6824,24.41,1.708,1099.289
rand_M2267_N274_C16_id000.txt,274,2267,16,6433,6433,6433,23.038,1.658,1019.241
rand_M226_N59_C7_id000.txt,59,226,7,688,688,688,1.031,0.074,6.858
rand_M2280_N275_C16_id000.txt,275,2280,16,6513,6513,6513,23.234,1.638,1057.59
rand_M2292_N276_C16_id000.txt,276,2292,16,6870,6870,6870,27.006,1.805,1115.067
rand_M2305_N277_C16_id000.txt,277,2305,16,7078,7078,7078,26.712,2.629,1231.089
rand_M2317_N278_C16_id000.txt,278,2317,16,6971,6971,6971,25.34,1.9,1218.819
rand_M232_N60_C7_id000.txt,60,232,7,618,618,618,0.808,0.069,6.085
rand_M2330_N279_C16_id000.txt,279,2330,16,7025,7025,7025,25.313,1.767,1180.749
rand_M2342_N280_C16_id000.txt,280,2342,16,7076,7076,7076,27.081,1.909,1170.7
rand_M2355_N281_C16_id000.txt,281,2355,16,6858,6858,6858,25.042,1.855,1158.326
rand_M2367_N282_C16_id000.txt,282,2367,16,6942,6942,6942,23.835,1.89,1171.359
rand_M2380_N283_C16_id000.txt,283,2380,16,6771,6771,6771,24.562,1.838,1115.67
rand_M238_N61_C7_id000.txt,61,238,7,701,701,701,1.145,0.077,6.957
